DATE,STATE,COUNTY (TOP 3),TOTAL CASES,TOTAL DEATHS,NEW CASES,NEW DEATHS,TESTS PERFORMED THAT DAY,TOTAL TESTS PERFORMED,,,,
1-Apr,NY,QUEENS,15217,447,,,,220880,,,,
,,KINGS,12274,328,,,,,,,,
,,NASSAU,8544,63,,,,,,,,
,,BRONX,8607,360,,,,,,,,
,,SUFFOLK,7605,69,,,,,,,,
,NJ,BERGEN,3494,75,,,,52642,,,,
,,HUDSON,1910,29,,,,,,,,
,,ESSEX,2262,69,,,,,,,,
,,UNION,1661,29,,,,,,,,
,,PASSAIC,1494,15,,,,,,,,
,MA,SUFFOLK,1624,15,,,,51738,,,,
,,MIDDLESEX,1582,21,,,,,,,,
,,ESSEX,885,18,,,,,,,,
,,NORFOLK,829,16,,,,,,,,
,,WORCESTER,563,10,,,,,,,,
,MI,WAYNE,4470,146,,,,40125,,,,
,,OAKLAND,1591,70,,,,,,,,
,,MACOMB,853,38,,,,,,,,
,,GENESEE,249,8,,,,,,,,
,,WASHTENAW,401,8,,,,,,,,
,PA,PHILADELPHIA,1478,14,,,,48232,,,,
,,MONTGOMERY,649,8,,,,,,,,
,,DELEWARE,390,7,,,,,,,,
,,LEHIGH,374,5,,,,,,,,
,,BERKS,151,0,,,,,,,,
,CA,LOS ANGELES,3502,66,,,,29927,,,,
,,SAN DIEGO,851,11,,,,,,,,
,,RIVERSIDE,306,11,,,,,,,,
,,SANTA CLARA,956,33,,,,,,,,
,,ORANGE,606,10,,,,,,,,
2-Apr,NY,QUEENS,16819,499,1602,52,18085,238965,,,,
,,KINGS,12390,385,116,57,,,,,,
,,NASSAU,9555,76,1011,13,,,,,,
,,BRONX,9343,421,736,61,,,,,,
,,SUFFOLK,8746,84,1141,15,,,,,,
,NJ,BERGEN,4099,120,605,45,6468,59110,,,,
,,HUDSON,2270,44,360,15,,,,,,
,,ESSEX,2617,99,355,30,,,,,,
,,UNION,2010,34,349,5,,,,,,
,,PASSAIC,1750,22,256,7,,,,,,
,MA,SUFFOLK,1896,21,272,6,4870,56608,,,,
,,MIDDLESEX,1870,29,288,8,,,,,,
,,ESSEX,1039,19,154,1,,,,,,
,,NORFOLK,938,22,109,6,,,,,,
,,WORCESTER,667,14,104,4,,,,,,
,MI,WAYNE,5069,194,599,48,4360,44485,,,,
,,OAKLAND,2183,119,592,49,,,,,,
,,MACOMB,1332,58,479,20,,,,,,
,,GENESEE,349,10,100,2,,,,,,
,,WASHTENAW,438,8,37,0,,,,,,
,PA,PHILADELPHIA,1852,14,374,0,6482,54714,,,,
,,MONTGOMERY,735,9,86,1,,,,,,
,,DELEWARE,470,8,80,1,,,,,,
,,LEHIGH,479,5,105,0,,,,,,
,,BERKS,168,1,17,1,,,,,,
,CA,LOS ANGELES,4040,79,538,13,3073,33000,,,,
,,SAN DIEGO,968,16,117,5,,,,,,
,,RIVERSIDE,438,13,132,2,,,,,,
,,SANTA CLARA,1019,37,63,4,,,,,,
,,ORANGE,656,13,50,3,,,,,,
3-Apr,NY,QUEENS,18823,590,2004,91,21555,260520,,,,
,,KINGS,15327,485,2937,100,,,,,,
,,NASSAU,10587,138,1032,62,,,,,,
,,BRONX,10765,480,1422,59,,,,,,
,,SUFFOLK,10154,96,1408,12,,,,,,
,NJ,BERGEN,4866,132,767,12,8393,67503,,,,
,,HUDSON,2835,59,565,15,,,,,,
,,ESSEX,3067,118,450,19,,,,,,
,,UNION,2487,45,477,11,,,,,,
,,PASSAIC,2216,34,466,12,,,,,,
,MA,SUFFOLK,2183,23,287,2,6354,62962,,,,
,,MIDDLESEX,2202,39,332,10,,,,,,
,,ESSEX,1238,24,199,5,,,,,,
,,NORFOLK,1045,25,107,3,,,,,,
,,WORCESTER,825,15,158,1,,,,,,
,MI,WAYNE,6096,223,1027,29,4437,48922,,,,
,,OAKLAND,2540,136,357,17,,,,,,
,,MACOMB,1560,65,228,7,,,,,,
,,GENESEE,422,11,73,1,,,,,,
,,WASHTENAW,477,8,39,0,,,,,,
,PA,PHILADELPHIA,2284,14,432,0,7401,62115,,,,
,,MONTGOMERY,875,11,140,2,,,,,,
,,DELEWARE,542,10,72,2,,,,,,
,,LEHIGH,584,5,105,0,,,,,,
