Area,Population,People Vaccinated with at least One Dose,People Fully Vaccinated
Adair County,"7,124","3,804
53.40%","3,525
49.48%"
Adams County,"3,726","2,153
57.78%","2,025
54.35%"
Allamakee County,"13,880","8,114
58.46%","7,303
52.62%"
Appanoose County,"12,510","6,363
50.86%","5,886
47.05%"
Audubon County,"5,637","3,333
59.13%","3,199
56.75%"
Benton County,"25,626","16,061
62.67%","14,957
58.37%"
Black Hawk County,"133,009","85,343
64.16%","78,738
59.20%"
Boone County,"26,399","18,094
68.54%","16,905
64.04%"
Bremer County,"24,782","15,930
64.28%","14,969
60.40%"
Buchanan County,"21,125","12,071
57.14%","11,331
53.64%"
Buena Vista County,"20,260","14,431
71.23%","13,287
65.58%"
Butler County,"14,735","8,744
59.34%","8,282
56.21%"
Calhoun County,"9,780","6,092
62.29%","5,745
58.74%"
Carroll County,"20,344","13,131
64.54%","12,450
61.20%"
Cass County,"13,191","7,980
60.50%","7,450
56.48%"
Cedar County,"18,445","11,906
64.55%","11,178
60.60%"
Cerro Gordo County,"42,984","28,920
67.28%","26,749
62.23%"
Cherokee County,"11,468","6,405
55.85%","5,942
51.81%"
Chickasaw County,"12,099","6,951
57.45%","6,544
54.09%"
Clarke County,"9,282","5,536
59.64%","5,143
55.41%"
Clay County,"16,313","9,008
55.22%","8,292
50.83%"
Clayton County,"17,672","9,064
51.29%","8,381
47.43%"
Clinton County,"47,218","27,977
59.25%","25,314
53.61%"
Crawford County,"17,132","9,781
57.09%","9,060
52.88%"
Dallas County,"84,002","67,450
80.30%","62,363
74.24%"
Davis County,"8,885","3,512
39.53%","3,301
37.15%"
Decatur County,"8,044","3,564
44.31%","3,211
39.92%"
Delaware County,"17,258","9,786
56.70%","9,264
53.68%"
Des Moines County,"39,600","21,884
55.26%","20,065
50.67%"
Dickinson County,"17,056","11,108
65.13%","10,016
58.72%"
Dubuque County,"96,802","66,903
69.11%","62,545
64.61%"
Emmet County,"9,551","5,213
54.58%","4,818
50.44%"
Fayette County,"19,929","11,381
57.11%","10,686
53.62%"
Floyd County,"15,858","8,839
55.74%","8,274
52.18%"
Franklin County,"10,245","5,873
57.33%","5,495
53.64%"
Fremont County,"6,968","4,073
58.45%","3,656
52.47%"
Greene County,"9,003","5,485
60.92%","5,159
57.30%"
Grundy County,"12,341","8,007
64.88%","7,582
61.44%"
Guthrie County,"10,674","6,652
62.32%","6,216
58.23%"
Hamilton County,"15,110","10,050
66.51%","9,379
62.07%"
Hancock County,"10,888","5,615
51.57%","5,276
48.46%"
Hardin County,"17,127","10,017
58.49%","9,442
55.13%"
Harrison County,"14,143","8,263
58.42%","7,286
51.52%"
