United States,"322,903,030","255,873,739
79.24%","218,043,500
67.53%",
Autauga County,"55,200","30,934
56.04%","24,549
44.47%",Alabama
Baldwin County,"208,107","143,004
68.72%","112,870
54.24%",
Barbour County,"25,782","13,688
53.09%","11,140
43.21%",
Bibb County,"22,527","9,505
42.19%","7,756
34.43%",
Blount County,"57,645","22,107
38.35%","18,258
31.67%",
Bullock County,"10,352","6,774
65.44%","5,373
51.90%",
Butler County,"20,025","9,635
48.11%","7,647
38.19%",
Calhoun County,"115,098","64,857
56.35%","53,078
46.12%",
Chambers County,"33,826","12,516
37.00%","10,414
30.79%",
Cherokee County,"25,853","9,866
38.16%","7,998
30.94%",
Chilton County,"43,930","19,611
44.64%","16,093
36.63%",
Choctaw County,"13,075","10,281
78.63%","8,293
63.43%",
Clarke County,"24,387","14,835
60.83%","12,037
49.36%",
Clay County,"13,378","6,663
49.81%","5,497
41.09%",
Cleburne County,"14,938","5,115
34.24%","4,276
28.62%",
Coffee County,"51,288","30,652
59.76%","24,643
48.05%",
Colbert County,"54,495","31,439
57.69%","26,461
48.56%",
Conecuh County,"12,514","6,841
54.67%","5,250
41.95%",
Coosa County,"10,855","5,190
47.81%","4,314
39.74%",
Covington County,"37,351","17,138
45.88%","14,099
37.75%",
Crenshaw County,"13,865","5,731
41.33%","4,725
34.08%",
Cullman County,"82,313","37,709
45.81%","31,945
38.81%",
Dale County,"49,255","28,003
56.85%","23,456
47.62%",
Dallas County,"40,029","21,904
54.72%","16,818
42.01%",
DeKalb County,"71,200","29,722
41.74%","24,158
33.93%",
Elmore County,"81,212","46,544
57.31%","37,504
46.18%",
Escambia County,"37,328","16,999
45.54%","13,331
35.71%",
Etowah County,"102,939","50,452
49.01%","41,841
40.65%",
Fayette County,"16,585","6,635
40.01%","5,689
34.30%",
Franklin County,"31,542","16,676
52.87%","13,638
43.24%",
Geneva County,"26,491","12,738
48.08%","10,566
39.89%",
Greene County,"8,426","5,161
61.25%","4,110
48.78%",
Hale County,"14,887","10,640
71.47%","8,972
60.27%",
Henry County,"17,124","9,384
54.80%","7,792
45.50%",
Houston County,"104,352","54,535
52.26%","45,600
43.70%",
Jackson County,"52,094","30,884
59.29%","25,369
48.70%",
Jefferson County,"659,892","471,221
71.41%","380,882
57.72%",
Lamar County,"13,933","7,020
50.38%","6,052
43.44%",
Lauderdale County,"92,585","53,240
57.50%","43,037
46.48%",
Lawrence County,"33,171","18,084
54.52%","15,476
46.66%",
Lee County,"159,287","78,811
49.48%","65,843
41.34%",
Limestone County,"93,052","45,763
49.18%","38,434
41.30%",
Lowndes County,"10,236","6,321
61.75%","4,937
48.23%",
Macon County,"19,054","10,856
56.97%","8,621
45.25%",
Madison County,"357,560","282,817
79.10%","229,340
64.14%",
Marengo County,"19,538","12,609
64.54%","10,234
52.38%",
Marion County,"29,965","12,645
42.20%","10,803
36.05%",
Marshall County,"95,145","53,553
56.29%","44,030
46.28%",
Mobile County,"414,659","248,559
59.94%","204,466
49.31%",
Monroe County,"21,512","11,317
52.61%","9,015
41.91%",
Montgomery County,"226,941","148,967
65.64%","117,502
51.78%",
Morgan County,"119,122","61,418
51.56%","52,045
43.69%",
Perry County,"9,486","5,200
54.82%","4,329
45.64%",
Pickens County,"20,298","12,057
59.40%","9,809
48.32%",
Pike County,"33,403","16,870
50.50%","13,909
41.64%",
Randolph County,"22,574","9,145
40.51%","7,441
32.96%",
Russell County,"58,213","31,911
54.82%","23,663
40.65%",
St. Clair County,"87,306","41,681
47.74%","34,900
39.97%",
Shelby County,"211,261","97,496
46.15%","78,583
37.20%",
Sumter County,"12,985","8,456
65.12%","6,354
48.93%",
Talladega County,"80,565","35,458
44.01%","29,153
36.19%",
Tallapoosa County,"40,636","18,390
45.26%","15,481
38.10%",
Tuscaloosa County,"206,213","110,356
53.52%","91,170
44.21%",
Walker County,"64,493","35,778
55.48%","29,909
46.38%",
Washington County,"16,643","9,102
54.69%","7,487
44.99%",
Wilcox County,"10,809","6,962
64.41%","5,574
51.57%",
Winston County,"23,875","6,226
26.08%","5,184
21.71%",
Aleutians East Borough,"3,425","2,839
82.89%","2,510
73.28%",Alaska
Aleutians West Census Area,"5,750","4,198
73.01%","3,527
61.34%",
Anchorage Municipality,"296,112","217,514
73.46%","193,497
65.35%",
Bethel Census Area,"18,040","13,253
73.46%","12,241
67.85%",
Bristol Bay Borough,890,"1,095
123.03%","916
102.92%",
Chugach,,Not Available,Data Not Available,
Copper River,,Not Available,Data Not Available,
Denali Borough,"2,232","1,316
58.96%","1,133
50.76%",
Dillingham Census Area,"4,975","2,815
56.58%","2,572
51.70%",
Fairbanks North Star Borough,"99,653","65,761
65.99%","57,826
58.03%",
Haines Borough,"2,518","1,857
73.75%","1,729
68.67%",
Hoonah-Angoon Census Area,"2,132","1,588
74.48%","1,501
70.40%",
Juneau City and Borough,"32,330","26,585
82.23%","24,494
75.76%",
Kenai Peninsula Borough,"58,220","31,287
53.74%","28,257
48.53%",
Ketchikan Gateway Borough,"13,804","9,963
72.17%","9,103
65.94%",
Kodiak Island Borough,"13,649","9,352
68.52%","8,444
61.87%",
Kusilvak Census Area,"8,198","6,032
73.58%","5,521
67.35%",
Lake and Peninsula Borough,"1,375","1,007
73.24%","916
66.62%",
Matanuska-Susitna Borough,"103,464","49,520
47.86%","43,835
42.37%",
Nome Census Area,"9,925","7,377
74.33%","7,050
71.03%",
North Slope Borough,"9,797","4,090
41.75%","3,811
38.90%",
Northwest Arctic Borough,"7,734","4,933
63.78%","4,618
59.71%",
Petersburg Borough,"3,255","2,657
81.63%","2,476
76.07%",
Prince of Wales-Hyder Census Area,"6,474","3,621
55.93%","3,311
51.14%",
Sitka City and Borough,"8,738","7,107
81.33%","6,671
76.34%",
Skagway Municipality,"1,061","926
87.28%","830
78.23%",
Southeast Fairbanks Census Area,"6,876","3,141
45.68%","2,794
40.63%",
Valdez-Cordova Census Area,"9,301","6,250
67.20%","5,776
62.10%",
Wrangell City and Borough,"2,484","1,532
61.67%","1,445
58.17%",
Yakutat City and Borough,689,"474
68.80%","455
66.04%",
Yukon-Koyukuk Census Area,"5,415","4,351
80.35%","4,032
74.46%",
Apache County,"71,522","88,179
123.29%","73,589
102.89%",Arizona
Cochise County,"126,279","100,016
79.20%","81,046
64.18%",
Coconino County,"140,217","129,747
92.53%","109,840
78.34%",
Gila County,"53,400","37,086
69.45%","31,905
59.75%",
Graham County,"37,879","28,257
74.60%","24,657
65.09%",
Greenlee County,"9,504","4,674
49.18%","4,167
43.84%",
La Paz County,"20,701","12,647
61.09%","10,176
49.16%",
Maricopa County,"4,253,913","2,991,571
70.33%","2,555,858
60.08%",
Mohave County,"206,064","107,116
51.98%","87,671
42.55%",
Navajo County,"108,705","101,717
93.57%","85,277
78.45%",
Pima County,"1,019,722","853,233
83.67%","716,781
70.29%",
Pinal County,"419,721","287,392
68.47%","247,797
59.04%",
Santa Cruz County,"46,584","71,115
152.66%","52,393
112.47%",
Yavapai County,"224,645","133,182
59.29%","109,202
48.61%",
Yuma County,"207,829","187,501
90.22%","149,298
71.84%",
Arkansas County,"18,124","11,336
62.55%","9,730
53.69%",Arkansas
Ashley County,"20,537","11,470
55.85%","9,798
47.71%",
Baxter County,"41,219","22,938
55.65%","19,600
47.55%",
Benton County,"258,980","180,558
69.72%","148,211
57.23%",
Boone County,"37,288","16,519
44.30%","13,960
37.44%",
Bradley County,"10,948","7,217
65.92%","6,111
55.82%",
Calhoun County,"5,202","2,240
43.06%","1,922
36.95%",
Carroll County,"27,887","16,206
58.11%","13,475
48.32%",
Chicot County,"10,826","6,642
61.35%","5,501
50.81%",
Clark County,"22,385","12,631
56.43%","10,860
48.51%",
Clay County,"15,061","7,512
49.88%","6,629
44.01%",
Cleburne County,"25,230","12,866
50.99%","11,042
43.77%",
Cleveland County,"8,226","4,818
58.57%","4,199
51.05%",
Columbia County,"23,892","13,678
57.25%","11,378
47.62%",
Conway County,"20,906","12,834
61.39%","11,178
53.47%",
Craighead County,"105,701","59,145
55.96%","49,884
47.19%",
Crawford County,"62,472","33,825
54.14%","28,828
46.15%",
Crittenden County,"49,013","26,140
53.33%","21,461
43.79%",
Cross County,"16,998","9,664
56.85%","8,344
49.09%",
Dallas County,"7,432","4,520
60.82%","3,953
53.19%",
Desha County,"11,887","8,148
68.55%","6,799
57.20%",
Drew County,"18,502","10,232
55.30%","8,720
47.13%",
Faulkner County,"122,416","74,821
61.12%","64,428
52.63%",
Franklin County,"17,780","9,600
53.99%","8,571
48.21%",
Fulton County,"12,139","4,738
39.03%","4,042
33.30%",
Garland County,"98,296","53,415
54.34%","44,977
45.76%",
Grant County,"18,086","9,707
53.67%","8,343
46.13%",
Greene County,"44,623","22,393
50.18%","19,472
43.64%",
Hempstead County,"22,018","10,697
48.58%","8,615
39.13%",
Hot Spring County,"33,520","16,405
48.94%","14,336
42.77%",
Howard County,"13,389","8,431
62.97%","7,159
53.47%",
Independence County,"37,264","18,169
48.76%","15,562
41.76%",
Izard County,"13,559","6,032
44.49%","5,149
37.97%",
Jackson County,"17,225","7,607
44.16%","6,500
37.74%",
Jefferson County,"70,424","37,438
53.16%","29,649
42.10%",
Johnson County,"26,291","15,394
58.55%","13,004
49.46%",
Lafayette County,"6,915","3,273
47.33%","2,756
39.86%",
Lawrence County,"16,669","9,004
54.02%","7,658
45.94%",
Lee County,"9,398","3,799
40.42%","2,987
31.78%",
Lincoln County,"13,695","5,477
39.99%","4,582
33.46%",
Little River County,"12,417","6,034
48.59%","4,844
39.01%",
Logan County,"21,757","11,521
52.95%","10,040
46.15%",
Lonoke County,"72,206","40,666
56.32%","34,790
48.18%",
Madison County,"16,076","8,306
51.67%","7,122
44.30%",
Marion County,"16,438","7,069
43.00%","5,988
36.43%",
Miller County,"43,759","17,938
40.99%","13,543
30.95%",
Mississippi County,"42,831","19,680
45.95%","16,647
38.87%",
Monroe County,"7,249","4,590
63.32%","3,720
51.32%",
Montgomery County,"8,993","3,834
42.63%","3,251
36.15%",
Nevada County,"8,440","4,669
55.32%","3,606
42.73%",
Newton County,"7,848","3,147
40.10%","2,616
33.33%",
Ouachita County,"24,106","14,583
60.50%","12,669
52.56%",
Perry County,"10,322","6,270
60.74%","5,391
52.23%",
Phillips County,"19,034","10,438
54.84%","8,829
46.39%",
Pike County,"10,808","5,549
51.34%","4,477
41.42%",
Poinsett County,"24,054","12,454
51.78%","10,504
43.67%",
